Time,Humidity,Temperature,HumidifierPower
Sun Mar  3 19:14:18 2019,94.0,26.3,0.0
Sun Mar  3 19:14:19 2019,94.0,26.3,0.0
Sun Mar  3 19:14:19 2019,94.0,26.3,0.0
Sun Mar  3 19:14:20 2019,94.0,26.2,0.0
Sun Mar  3 19:14:21 2019,94.0,26.3,0.0
Sun Mar  3 19:14:21 2019,94.0,26.3,0.0
Sun Mar  3 19:14:22 2019,94.0,26.3,0.0
Sun Mar  3 19:14:22 2019,94.0,26.3,0.0
Sun Mar  3 19:14:23 2019,94.0,26.2,0.0
Sun Mar  3 19:14:24 2019,94.0,26.3,0.0
Sun Mar  3 19:14:24 2019,94.0,26.3,0.0
Sun Mar  3 19:14:25 2019,94.0,26.3,0.0
Sun Mar  3 19:14:25 2019,94.0,26.3,0.0
Sun Mar  3 19:14:26 2019,94.0,26.2,0.0
Sun Mar  3 19:14:27 2019,94.0,26.2,0.0
Sun Mar  3 19:14:30 2019,94.0,26.3,0.0
Sun Mar  3 19:14:30 2019,94.0,26.3,0.0
Sun Mar  3 19:14:31 2019,94.0,26.3,0.0
Sun Mar  3 19:14:31 2019,94.0,26.3,0.0
Sun Mar  3 19:14:32 2019,94.0,26.3,0.0
Sun Mar  3 19:14:33 2019,94.0,26.2,0.0
Sun Mar  3 19:14:33 2019,94.0,26.3,0.0
Sun Mar  3 19:14:34 2019,94.0,26.3,0.0
Sun Mar  3 19:14:34 2019,94.0,26.3,0.0
Sun Mar  3 19:14:35 2019,94.0,26.3,0.0
Sun Mar  3 19:14:36 2019,94.0,26.3,0.0
Sun Mar  3 19:14:36 2019,94.0,26.3,0.0
Sun Mar  3 19:14:37 2019,94.0,26.3,0.0
Sun Mar  3 19:14:37 2019,94.0,26.3,0.0
Sun Mar  3 19:14:38 2019,94.0,26.3,0.0
Sun Mar  3 19:14:39 2019,94.0,26.3,0.0
Sun Mar  3 19:14:39 2019,94.0,26.3,0.0
Sun Mar  3 19:14:42 2019,94.0,26.3,0.0
Sun Mar  3 19:14:43 2019,94.0,26.3,0.0
Sun Mar  3 19:14:44 2019,94.0,26.3,0.0
Sun Mar  3 19:14:44 2019,94.0,26.3,0.0
Sun Mar  3 19:14:45 2019,94.0,26.3,0.0
Sun Mar  3 19:14:45 2019,94.0,26.3,0.0
Sun Mar  3 19:14:46 2019,94.0,26.3,0.0
Sun Mar  3 19:14:47 2019,94.0,26.3,0.0
Sun Mar  3 19:14:47 2019,94.0,26.3,0.0
Sun Mar  3 19:14:48 2019,94.0,26.3,0.0
Sun Mar  3 19:14:48 2019,94.0,26.3,0.0
Sun Mar  3 19:14:49 2019,94.0,26.3,0.0
Sun Mar  3 19:14:50 2019,94.0,26.3,0.0
Sun Mar  3 19:14:50 2019,94.0,26.3,0.0
Sun Mar  3 19:14:51 2019,94.0,26.3,0.0
Sun Mar  3 19:14:51 2019,94.0,26.3,0.0
Sun Mar  3 19:14:52 2019,94.0,26.3,0.0
Sun Mar  3 19:14:53 2019,94.0,26.3,0.0
Sun Mar  3 19:14:53 2019,94.0,26.3,0.0
Sun Mar  3 19:14:54 2019,94.0,26.3,0.0
Sun Mar  3 19:14:54 2019,94.0,26.3,0.0
Sun Mar  3 19:14:55 2019,94.0,26.3,0.0
Sun Mar  3 19:14:56 2019,94.0,26.3,0.0
Sun Mar  3 19:14:56 2019,94.0,26.3,0.0
Sun Mar  3 19:14:57 2019,94.0,26.3,0.0
Sun Mar  3 19:14:57 2019,94.0,26.3,0.0
Sun Mar  3 19:14:58 2019,94.0,26.3,0.0
Sun Mar  3 19:14:59 2019,94.0,26.3,0.0
Sun Mar  3 19:14:59 2019,94.0,26.3,0.0
Sun Mar  3 19:15:00 2019,94.0,26.3,0.0
Sun Mar  3 19:15:00 2019,94.0,26.2,0.0
Sun Mar  3 19:15:01 2019,94.0,26.3,0.0
Sun Mar  3 19:15:01 2019,94.0,26.2,0.0
Sun Mar  3 19:15:02 2019,94.0,26.3,0.0
Sun Mar  3 19:15:03 2019,94.0,26.3,0.0
Sun Mar  3 19:15:06 2019,94.0,26.3,0.0
Sun Mar  3 19:15:06 2019,94.0,26.3,0.0
Sun Mar  3 19:15:07 2019,94.0,26.3,0.0
Sun Mar  3 19:15:08 2019,94.0,26.3,0.0
Sun Mar  3 19:15:08 2019,94.0,26.3,0.0
Sun Mar  3 19:15:09 2019,94.0,26.3,0.0
Sun Mar  3 19:15:09 2019,94.0,26.3,0.0
Sun Mar  3 19:15:10 2019,94.0,26.3,0.0
Sun Mar  3 19:15:11 2019,94.0,26.3,0.0
Sun Mar  3 19:15:11 2019,94.0,26.3,0.0
Sun Mar  3 19:15:12 2019,94.0,26.3,0.0
Sun Mar  3 19:15:12 2019,94.0,26.3,0.0
Sun Mar  3 19:15:13 2019,94.0,26.3,0.0
Sun Mar  3 19:15:14 2019,94.0,26.3,0.0
Sun Mar  3 19:15:14 2019,94.0,26.3,0.0
Sun Mar  3 19:15:15 2019,94.0,26.3,0.0
Sun Mar  3 19:15:15 2019,94.0,26.3,0.0
Sun Mar  3 19:15:16 2019,94.0,26.3,0.0
Sun Mar  3 19:15:16 2019,94.0,26.3,0.0
Sun Mar  3 19:15:17 2019,94.0,26.3,0.0
Sun Mar  3 19:15:18 2019,94.0,26.3,0.0
Sun Mar  3 19:15:18 2019,94.0,26.3,0.0
